index,Function ID,Critical Work Function,Key Tasks
0,0,achieve financial targets,"['analyse branch staff portfolios to ensure revenue targets are achieved', 'develop branch-specific revenue generation plans through tailored sales and marketing activities', 'implement initiatives to generate income, contain costs and mitigate or reduce operational losses', 'market products and services to priority customers to enable growth', ""implement branch sales and service initiatives to increase the organisation's market share"", 'identify opportunities to build and grow profitable relationships through understanding of customer base', ""monitor products' performance in terms of market share and revenue targets""]"
1,1,achieve financial targets,"['analyse the portfolio of the various branches to ensure revenue target is achieved', ""champion and drive branch sales and service initiatives to increase the organisation's market share"", 'drive product performance improvement strategies in alignment with overall business strategies', 'determine marketing plans for products and services within branches to priority customers to enable revenue and business growth', 'identify opportunities to build and grow profitable relationships by understanding customer base', 'originate initiatives to generate income, contain costs and mitigate and/or reduce operational losses']"
2,2,achieve sales,"['document sales transactions', 'provide consultation on product and services', 'close sales']"
3,3,achieve sales,"['sell products and services', 'document sales transactions', 'handle after-retail sales services', 'provide advice on products and services', 'close sales', 'conduct product demonstration', 'interact with customers']"
4,4,achieve sales,"['communicate scheduled sales reports in accordance with organisational standards', ""manage store's/outlet's sales performance"", 'facilitate implementation of organisation strategies', 'interpret information on sales goals and targets']"
5,5,acquire and manage clients,"['identify channels for sourcing new clients', 'analyse succession plans and directions provided by senior team members', 'assist in development of marketing materials for client segments', 'track wealth planning industry trends and developments']"
6,6,acquire and manage clients,"['identify and prospect clients through market segmentation with a focus on an industry and/or sub-segment', 'respond to client queries relating to credit, deposits, products and operational issues', 'conduct due diligence and compliance reviews for commercial clients in line with internal and external requirements', 'develop and maintain relationships with clients to provide quality service']"
7,7,acquire and manage clients,"['lead market research initiatives to improve financial analysis and promote enhanced client presentation capabilities', 'drive identification of new markets for client acquisition and prioritise markets based on organisation strategies']"
8,8,acquire and manage clients,"['strategise opportunities for the organisation to develop and maintain relationships with clients to enhance the value of services provided', 'drive innovation of customised on-boarding options and solutions for clients to suit their individual needs', 'keep abreast of global standards for due diligence and evaluate impact on the organisation', 'define narrowed focus areas for market segmentation strategies and prioritise industries and/or sub-segments for organisational growth and development', 'establish frameworks for responses to client queries relating to credit, deposits, products and operations issues']"
9,9,acquire and manage clients,"['develop strategies to identify new clients through market segmentation and apply different approaches in targeting and selecting clients', ""organise sales activities and programmes to promote the organisation's products and services to acquire new clients"", 'establish relationships with product specialists and other stakeholders to customise product solutions for clients', 'monitor trends in the wealth planning industry']"
10,10,acquire and manage clients,"['articulate local and regional standards pertaining to due diligence and articulate complexities of global actions', 'respond to client queries relating to credit, deposits, products and operational issues', 'develop and maintain relationships with clients to provide quality services', 'develop customised on-boarding options and solutions for clients to suit their individualised needs', 'identify and prospect clients through market segmentation with a focus on an industry and/or sub-segment applying a narrowed focus to client acquisition']"
11,11,acquire and manage clients,"[""oversee assigned portfolio of fis to ensure clients' objectives are met"", 'keep abreast of changing regulations as they pertain to different lending types as well as changing requirements from various sovereigns and ensure knowledge is transferred to team members', 'strategise opportunities for the organisation to develop and maintain relationships with clients to enhance the value of services provided', 'provide oversight on team members alignment with compliance know your customer (kyc) documentation and anti-money laundering (aml) policies and procedures in order to effectively mitigate and manage risk', 'drive strategic identification and prospecting of new clients using deep industry knowledge and expertise', 'establish frameworks for responses to client queries relating to credit, deposits, products and operations issues']"
12,12,acquire and manage clients,"['develop and maintain ongoing relationships with clients to provide quality service', 'understand requirements for working with sovereigns and different lending types involved with parent companies', ""manage assigned portfolio of fis on a regular basis to ensure clients' financial objectives are met"", 'identify and prospect new clients and business opportunities, and manage attrition of existing clients', ""respond to clients' queries relating to credit, deposits, products and operational issues"", 'ensure compliance with know your customer (kyc) documentation and anti-money laundering (aml) policies and procedures in order to effectively mitigate and manage risk']"
13,13,acquire and manage clients,"['establish frameworks for responses to client queries relating to credit, deposits, products and operational issues', 'strategise opportunities for the organisation to develop and maintain relationships with clients to enhance the value of services provided', 'articulate to team members details surrounding due diligence and compliance requirements for commercial clients in alignment with internal and external requirements', 'define market segmentation strategies and prioritise industries and/or sub-segments for organisational growth and development']"
14,14,acquire and manage clients,"['conduct market research, financial analysis and client presentations', 'identify new markets for clients and acquire them through conferences, industry events and networking']"
15,15,acquire and manage customers,"['adopt customer acquisition and retention strategies to achieve sales targets', 'assist customers in claims processes', ""monitor outcomes of financial plans and suggest enhancements that are in line with customers' financial objectives"", 'correspond with customers to answer enquiries and resolve account problems', 'cultivate relationships with prospective customers', 'maintain ongoing relationships with customers to identify changing needs and circumstances', 'seek out new customers and develop new customer groups by attending networking sessions and functions']"
16,16,acquire and manage customers,"['disseminate compliance and regulatory frameworks to teams', 'formulate customer acquisition strategies and organisational propositions to position the organisation', 'resolve escalated conflicts', 'oversee customer management activities', 'set targets for sales teams', 'ensure adherence to claims processes and procedures']"
17,17,acquire and manage portfolio of customers,"['determine organisational strategies to identify new clients', 'review credit and operational risk policies to minimise any losses and articulate them to the team', 'drive organisational relationships with product specialists and other internal stakeholders to customise product solutions for clients', 'drive referral strategies for new business opportunities']"
18,18,acquire and manage portfolio of customers,"['support strategies to identify new customers through market segmentation research', 'communicate with product specialists and other stakeholders to support customer relationships', 'support identification of credit and operational risks']"
