role_id,sector,track,track_list,job_role,job_role_list,job_role_description,occupation,sub-sector,sub-track
r0,accountancy,assurance,['assurance'],audit associate/audit assistant associate,"['audit associate', 'audit assistant associate']",,assurance professional,,
r1,accountancy,assurance,['assurance'],audit manager,['audit manager'],"the audit senior manager/audit manager manages a portfolio of engagements to deliver high quality audit services. he/she also provides leadership on audit engagements which includes client acceptance process, engagement planning, execution and finalisation of an audit engagement. he is fully accountable for the audit engagement and ensures that the engagement progress against budget and timeline is closely monitored. he also serves to develop and maintain long-term client relationships and value-add to the audit firm by identifying new business development opportunities. the audit senior manager/audit manager reviews and provides key technical expertise to ensure the quality of audit work performed is in compliance with professional standards and requirements. he contributes towards continuous improvement in audit methodology and process. he will also assume a greater role in professional development activities such as training, staff recruitment and resource planning.",assurance professional,,
r2,accountancy,assurance,['assurance'],audit partner/audit director,"['audit partner', 'audit director']",,assurance professional,,
r3,accountancy,assurance,['assurance'],audit senior,['audit senior'],"the audit senior is expected to team lead various sizes of audit engagements which include planning, performing, reviewing of audit work performed by less experienced personnel and concluding the engagement. he/she works closely with team members to execute the audit plan and ensures the timely completion of the audit engagement. he also works closely with clients and manages their expectations to further nurture on-going client relationships. he is able to identify unethical behaviour and react based on the applicable ethical principles. the audit senior operates in work contexts that are less standardised and unanticipated changes can be frequent due to changes in the external environment. he is a trustworthy and meticulous individual.",assurance professional,,
r4,accountancy,business valuation,['business valuation'],business valuation associate/business valuation executive,"['business valuation associate', 'business valuation executive']",,business valuation professional,,
r5,accountancy,business valuation,['business valuation'],business valuation manager,['business valuation manager'],"the business valuation manager is second in charge of various functions including managing the valuation, generating and supporting the business, quality control, technical leadership as well as sourcing appropriate staff for the team. the business valuation manager is a technical expert in all areas of valuation including valuation of intangible assets. he/she should possess considerable amount of experience in valuation, client, stakeholder and business management, project management and team development.",business valuation professional,,
r6,accountancy,business valuation,['business valuation'],business valuation partner/business valuation director,"['business valuation partner', 'business valuation director']",,business valuation professional,,
r7,accountancy,business valuation,['business valuation'],business valuation senior/business valuation senior executive,"['business valuation senior', 'business valuation senior executive']",,business valuation professional,,
r8,accountancy,enterprise risk management,['enterprise risk management'],chief risk officer/risk partner/head of risk/enterprise risk management director,"['chief risk officer', 'risk partner', 'head of risk', 'enterprise risk management director']",,enterprise risk management professional,,
r9,accountancy,enterprise risk management,['enterprise risk management'],enterprise risk management associate/enterprise risk management executive,"['enterprise risk management associate', 'enterprise risk management executive']",,enterprise risk management professional,,
