SSOC5dCode,finalWageMin,finalWageMax
0,2646.0,4201.0
11110,5634.0,7623.0
11121,2266.0,3763.0
11122,5901.0,7984.0
11201,8120.0,10986.0
11202,2521.0,4201.0
11203,6667.5,9042.0
12111,4897.0,6733.5
12112,2648.0,4201.0
12113,4615.0,6474.0
12121,4078.0,5522.0
12122,4243.0,6036.0
12123,4016.0,5559.0
12131,5826.0,7990.0
12132,4898.0,7220.0
12133,5214.0,7203.0
12191,3478.0,4729.0
12192,3308.0,4475.0
12193,2240.0,3667.0
12194,3469.0,5473.0
12195,2909.0,4201.0
12199,3357.0,4542.0
12211,3763.0,5175.0
12212,4210.0,5820.0
12213,5198.0,7246.0
12214,4188.0,5714.0
12215,3688.5,5138.0
12221,4955.0,6781.0
12222,4246.0,5851.0
12230,4520.0,6166.0
12241,2297.0,3517.0
12242,2118.0,3381.0
13100,2961.0,4103.5
13210,3153.0,4887.0
13230,3470.0,5476.0
13241,3216.0,4812.0
13242,3073.5,4972.0
13243,5240.0,7090.0
13244,2521.0,4201.0
13245,2521.0,4201.0
13291,2521.0,4201.0
13292,2724.0,4201.0
13301,7650.0,10422.0
13302,4692.0,6839.0
13303,4641.0,6860.0
13304,2603.0,4201.0
13410,2762.0,3737.0
13420,2521.0,4201.0
13430,2521.0,3754.0
13441,3649.0,5121.0
13442,3375.5,4739.0
13451,3970.0,5443.0
13459,4779.0,7630.0
13461,3899.0,5384.0
13462,4064.0,6203.0
13463,5425.0,7344.0
13492,3739.0,5059.0
13493,4492.0,6086.0
13499,4549.0,6154.0
14110,2937.0,4319.0
14121,2758.0,4201.0
14122,3018.0,4228.0
14123,2728.0,4201.0
14201,2695.0,4201.0
14202,4012.0,5428.0
14310,2981.0,4201.0
14321,3721.0,5034.0
14322,2521.0,4201.0
14323,3375.0,4929.0
14324,4113.0,5565.0
14325,3510.0,4749.0
14329,982.0,1329.0
14330,3391.0,5651.5
14391,2521.0,4201.0
14392,3967.0,6024.0
14399,4539.0,6141.0
21110,4189.0,5668.0
21120,3699.0,6166.0
21130,2722.0,4274.0
21141,2521.0,4201.0
21142,2805.0,4675.0
21211,2926.0,4876.0
21212,3893.5,5942.0
21213,4587.0,6501.0
21221,3728.0,5983.5
21222,4820.0,6733.0
21231,2984.0,4319.0
21239,6799.0,9199.0
21311,5020.0,6792.0
21319,2625.0,4201.0
21321,2521.0,4045.0
21329,2716.0,4199.0
21331,2538.0,4201.0
21339,4457.0,6029.0
21341,4939.5,7328.0
21342,3715.0,5094.0
21343,2661.0,4434.0
21344,2582.0,4303.0
21345,5581.0,7551.0
21346,3763.0,5613.0
21347,2521.0,4201.0
21411,3099.0,4682.0
21412,2521.0,4201.0
21413,3143.0,4520.0
21414,3247.0,4716.0
21415,3148.0,4693.0
21421,3458.0,5082.0
21422,3540.5,5335.0
21430,3692.0,5161.0
21441,3149.0,4785.0
21442,3131.0,4707.0
21443,2033.0,3388.0
21444,3792.0,5603.0
21451,2748.0,4201.0
21452,2521.0,4201.0
21454,2601.0,4054.0
21471,3150.0,4923.0
21472,2521.0,4201.0
21473,2867.0,4362.0
21474,3429.0,5188.5
21475,2521.0,4201.0
21491,2673.0,4201.0
21492,2678.0,4201.0
21493,3594.5,5032.0
21494,2936.0,4306.5
21495,3588.0,4854.0
21496,3671.0,5601.0
21497,3450.0,5749.0
21498,2839.0,4201.0
21499,3162.0,4673.0
21511,2947.0,4518.0
21512,3703.0,5404.0
21513,3717.0,5029.0
21521,3015.0,4585.0
21522,3361.0,5011.0
21523,3153.0,4660.5
21524,4175.0,6108.0
21525,2954.0,4438.0
21526,3841.0,5785.0
21531,2867.0,4779.0
21532,2521.0,4201.0
21610,4487.0,6856.0
21621,3048.0,5052.0
21622,2521.0,4201.0
21631,2521.0,3837.0
21632,4183.0,6608.5
21641,3103.0,5116.0
21651,3215.0,4945.0
21652,2709.0,4515.0
21659,2698.0,4201.0
21661,2521.0,4147.5
21662,2521.0,4201.0
21663,2521.0,3955.0
